Autism,None
Alabama,AdministrativeArea|Region|PopulatedPlace|Place|Location
Abraham Lincoln,Person|NaturalPerson
Animalia (book),Book|WrittenWork|Work|CreativeWork
Academy Awards,None
Actrius,Movie|Work|CreativeWork
Allan Dwan,Person|NaturalPerson
Alain Connes,Person|NaturalPerson
Aristotle,Person|NaturalPerson
Academy Award for Best Production Design,None
Ayn Rand,Person|NaturalPerson
Algeria,Country|PopulatedPlace|Place|Location
Andre Agassi,Athlete|Person|NaturalPerson
Animal Farm,Book|WrittenWork|Work|CreativeWork
Andorra,Country|PopulatedPlace|Place|Location
Alaska,AdministrativeArea|Region|PopulatedPlace|Place|Location
Aldous Huxley,Person|NaturalPerson
America the Beautiful,MusicRecording|MusicalWork|Work|CreativeWork|Document
American National Standards Institute,Organization|SocialPerson
A Modest Proposal,Book|WrittenWork|Work|CreativeWork
Apollo,Satellite|CelestialBody|Place|Location|Document|Work|CreativeWork
Andrei Tarkovsky,Person|NaturalPerson
Andrei Tarkovsky Hoffmanniana,Work|CreativeWork
Asia,Continent|PopulatedPlace|Place|Location
Atlantic Ocean,BodyOfWater|NaturalPlace|Place|Location
Arthur Schopenhauer,Person|NaturalPerson
Aruba,Country|PopulatedPlace|Place|Location
Angolan Armed Forces,Organisation|Organization|SocialPerson
Albert Sidney Johnston,Person|NaturalPerson
Angola,Country|PopulatedPlace|Place|Location
Afghanistan,Country|PopulatedPlace|Place|Location
Albania,Country|PopulatedPlace|Place|Location
Albert Einstein,Person|NaturalPerson
Algorithms (journal),PeriodicalLiterature|WrittenWork|Work|CreativeWork
Abortion,None
Azerbaijan,Country|PopulatedPlace|Place|Location
American Revolutionary War,SocietalEvent|Event
Alfred Korzybski,Person|NaturalPerson
Asteroids (video game),Software|Work|CreativeWork
Aquarius (constellation),CelestialBody|Place|Location
Aries (constellation),CelestialBody|Place|Location
Alexander the Great,Person|NaturalPerson
Arabic,Language
Ankara,City|Settlement|PopulatedPlace|Place|Location
Anaconda,Animal|Eukaryote|Species
Austrian German,Language
Aegean Sea,SeaBodyOfWater|BodyOfWater|NaturalPlace|Place|Location
Attila,Person|NaturalPerson
A Clockwork Orange (novel),Book|WrittenWork|Work|CreativeWork
Alfred Hitchcock,Person|NaturalPerson
Alfred Nobel,Person|NaturalPerson
Audi,Organisation|Organization|SocialPerson
Alexander Graham Bell,Person|NaturalPerson
Amsterdam,City|Settlement|PopulatedPlace|Place|Location
Aztlan Underground,Group|Organisation|Organization|SocialPerson|MusicGroup
American Film Institute,Organization|SocialPerson
Andy Warhol,Person|NaturalPerson
Alp Arslan,Person|NaturalPerson
Motor neuron disease,None
Analog Brothers,Group|Organisation|Organization|SocialPerson|MusicGroup
Akira Kurosawa,Person|NaturalPerson
American Civil War,SocietalEvent|Event
Apple Inc.,Organisation|Organization|SocialPerson
MessagePad,Device
Alfons Maria Jakob,Person|NaturalPerson
A. E. van Vogt,Person|NaturalPerson
Anna Kournikova,Athlete|Person|NaturalPerson
ABBA,Group|Organisation|Organization|SocialPerson|MusicGroup
Arne Kaijser,Person|NaturalPerson
Advanced Chemistry,Group|Organisation|Organization|SocialPerson|MusicGroup
Andrey Markov,Person|NaturalPerson
Asociación Alumni,SportsTeam|Organisation|Organization|SocialPerson
Azincourt,PopulatedPlace|Place|Location
A. A. Milne,Person|NaturalPerson
Alvin Toffler,Person|NaturalPerson
Apiaceae,Eukaryote|Species
Acute disseminated encephalomyelitis,None
The Amazing Spider-Man,WrittenWork|Work|CreativeWork
August Derleth,Person|NaturalPerson
Ada Lovelace,Person|NaturalPerson
Albert Speer,Person|NaturalPerson
Antigua and Barbuda,Country|PopulatedPlace|Place|Location
The Plague,Book|WrittenWork|Work|CreativeWork
Albert Camus,Person|NaturalPerson
Alps,NaturalPlace|Place|Location
Aaron,Cleric|Person|NaturalPerson
Miss Marple,Person|NaturalPerson
Hercule Poirot,Person|NaturalPerson
Agatha Christie,Person|NaturalPerson
Achill Island,PopulatedPlace|Place|Location
Allen Ginsberg,Person|NaturalPerson
Auto racing,Activity
Anatoly Karpov,Athlete|Person|NaturalPerson
Abscess,None
Albert Schweitzer,Person|NaturalPerson
Aristophanes,Person|NaturalPerson
Northern cavefish,Animal|Eukaryote|Species
Aalborg Municipality,Place|Location
Anatole France,Person|NaturalPerson
Alexis Carrel,Scientist|Person|NaturalPerson
All Souls' Day,TimeInterval
André Gide,Person|NaturalPerson
Almond,Eukaryote|Species
Aarhus,City|Settlement|PopulatedPlace|Place|Location
Royal Antigua and Barbuda Defence Force,Organisation|Organization|SocialPerson
Azerbaijani Armed Forces,Organisation|Organization|SocialPerson
Armed Forces of Armenia,Organisation|Organization|SocialPerson
Augustin-Jean Fresnel,Person|NaturalPerson
Ardipithecus,Animal|Eukaryote|Species
Abner Doubleday,Person|NaturalPerson
Adelaide,City|Settlement|PopulatedPlace|Place|Location
Afro Celt Sound System,Group|Organisation|Organization|SocialPerson|MusicGroup
Accordion,Document|Work|CreativeWork
Alan Garner,Person|NaturalPerson
Anaximander,Person|NaturalPerson
Amber Diceless Roleplaying Game,Activity
American Sign Language,Language
Ashmore and Cartier Islands,PopulatedPlace|Place|Location
Alan Turing,Person|NaturalPerson
Alfonso Cuarón,Person|NaturalPerson
Ada (programming language),Language
Ashoka,Person|NaturalPerson
Alexander Mackenzie (politician),Person|NaturalPerson
Anguilla,Country|PopulatedPlace|Place|Location
Antoninus Pius,Person|NaturalPerson
Athens,AdministrativeArea|Region|PopulatedPlace|Place|Location
Alfred Lawson,Person|NaturalPerson|Athlete
Abensberg,Settlement|PopulatedPlace|Place|Location
The Alan Parsons Project,Group|Organisation|Organization|SocialPerson|MusicGroup
Abalone,Animal|Eukaryote|Species
Augustus,Person|NaturalPerson
Ames Iowa,City|Settlement|PopulatedPlace|Place|Location
Park Güell,Park|Place|Location
Casa Batlló,ArchitecturalStructure|Place|Location
Casa Milà,ArchitecturalStructure|Place|Location
Arabian Prince,Artist|Person|NaturalPerson|MusicGroup
Apache Software Foundation,Organization|SocialPerson
Apple I,Device
Anadyr River,RiverBodyOfWater|Stream|BodyOfWater|NaturalPlace|Place|Location
Americans with Disabilities Act of,Document|Work|CreativeWork
Anbar (town),PopulatedPlace|Place|Location
André-Marie Ampère,Person|NaturalPerson
Andes,NaturalPlace|Place|Location
AK-47,Device|Product
Assembly language,Language
Amethyst,ChemicalSubstance|ChemicalObject
Arachnophobia,None
Ammonia,ChemicalSubstance|ChemicalObject
Alder,Eukaryote|Species
Ambrose,Cleric|Person|NaturalPerson
Amos Bronson Alcott,Person|NaturalPerson
Ahab,Person|NaturalPerson
Angilbert,Cleric|Person|NaturalPerson
Alcuin,Cleric|Person|NaturalPerson
Algol,CelestialBody|Place|Location
Algol The constellation Perseus and Algol the Bright St,Person|NaturalPerson
AOL,Organisation|Organization|SocialPerson
AOL Desktop,Work|CreativeWork
Amazing Grace,Document|Work|CreativeWork
Aleister Crowley,Person|NaturalPerson
Aare,RiverBodyOfWater|Stream|BodyOfWater|NaturalPlace|Place|Location
Antonio Vivaldi,Document|Work|CreativeWork
Adrian,Name
Abbotsford House,ArchitecturalStructure|Place|Location
Abraham,Person|NaturalPerson
Abraham Abraham,Cleric|Person|NaturalPerson
Alan Kay,Person|NaturalPerson
ALGOL,Language
AWK,Language
APL (programming language),Language
Acapulco,City|Settlement|PopulatedPlace|Place|Location
Alabama River,RiverBodyOfWater|Stream|BodyOfWater|NaturalPlace|Place|Location
Albert Alcibiades Margrave of Brandenburg-Kulmbach,Person|NaturalPerson
Dodo (Alice's Adventures in Wonderland),Person|NaturalPerson
Alfred Russel Wallace,Person|NaturalPerson
Albert Duke of Prussia,Person|NaturalPerson
Australian Labor Party,Organisation|Organization|SocialPerson
Albert the Bear,Person|NaturalPerson
Agate,ChemicalSubstance|ChemicalObject
Ahmed II,Person|NaturalPerson
Ahmed III,Person|NaturalPerson
Ahmed I,Person|NaturalPerson
Aspirin,ChemicalSubstance|ChemicalObject
Aachen,PopulatedPlace|Place|Location
Ainu people,None
Alexander Agassiz,Person|NaturalPerson
Aga Khan I,Person|NaturalPerson
Agnes of Merania,Person|NaturalPerson
Arthur Aikin,Person|NaturalPerson
